relation_id,relation_key,source_id,predicate,target_id,evidence
urn:uuid:f207fb4e-1739-5594-b773-7044c08b999a,relation/build-surface/unit-043-chapter-pdf/governed-by/rights/ajbook-fragment-cc-by-sa-3.0,urn:uuid:ce09c3b5-6b3e-57f5-87b5-7c6fad12f435,governed-by,urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,
urn:uuid:c6428815-a1ba-51d3-9ef0-eddb7317fe1e,relation/build-surface/unit-043-chapter-pdf/governed-by/rights/fandol-gpl-3.0-with-font-exception,urn:uuid:ce09c3b5-6b3e-57f5-87b5-7c6fad12f435,governed-by,urn:uuid:624ac6e0-0ed9-531c-8b35-47c040240806,
urn:uuid:f1927106-3263-5d1c-b521-4f51fff4cd63,relation/build-surface/unit-043-chapter-pdf/governed-by/rights/noto-fonts-ofl-1.1,urn:uuid:ce09c3b5-6b3e-57f5-87b5-7c6fad12f435,governed-by,urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,
urn:uuid:d79e97f0-779a-5b60-8f2c-aa0ce649c407,relation/build-surface/unit-043-chapter-pdf/governed-by/rights/principal-cc-by-4.0,urn:uuid:ce09c3b5-6b3e-57f5-87b5-7c6fad12f435,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:58e41c98-e1f6-52b8-9508-54d40522ed57,relation/build-surface/unit-043-combined-checkpoint-pdf/governed-by/rights/ajbook-fragment-cc-by-sa-3.0,urn:uuid:c5a59a32-0e44-5048-bd7c-e8c6aebc5583,governed-by,urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,
urn:uuid:2e3894c1-98d6-5a82-a763-b7e42235fab2,relation/build-surface/unit-043-combined-checkpoint-pdf/governed-by/rights/fandol-gpl-3.0-with-font-exception,urn:uuid:c5a59a32-0e44-5048-bd7c-e8c6aebc5583,governed-by,urn:uuid:624ac6e0-0ed9-531c-8b35-47c040240806,
urn:uuid:838cb862-ef10-57b5-8ee1-51791139414d,relation/build-surface/unit-043-combined-checkpoint-pdf/governed-by/rights/lanzhou-cc-by-sa-3.0,urn:uuid:c5a59a32-0e44-5048-bd7c-e8c6aebc5583,governed-by,urn:uuid:e18339ae-66cd-5304-b544-b220dd41380d,
urn:uuid:017e00b8-7237-5228-9737-05059b2ae997,relation/build-surface/unit-043-combined-checkpoint-pdf/governed-by/rights/noto-fonts-ofl-1.1,urn:uuid:c5a59a32-0e44-5048-bd7c-e8c6aebc5583,governed-by,urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,
urn:uuid:145e9be6-1c41-5d01-80a0-a911a88f7648,relation/build-surface/unit-043-combined-checkpoint-pdf/governed-by/rights/principal-cc-by-4.0,urn:uuid:c5a59a32-0e44-5048-bd7c-e8c6aebc5583,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:53d067a9-5de9-5fda-80de-fadd94073da9,relation/course/o013/requires/prerequisite/basic-mathematical-literacy,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:8fb6c957-7285-5258-978c-e1369c7e39d7,prelude.tex:49-60
urn:uuid:6af4c728-a07b-5571-a30d-9ee62c1a5a6e,relation/course/o013/requires/prerequisite/cauchy-sequences-and-completeness,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:b9018862-5027-50f5-9947-a9a9526cc91f,prelude.tex:49-60
urn:uuid:cdc5bef1-ed82-58de-9b13-95ec2357d9af,relation/course/o013/requires/prerequisite/elementary-number-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:cae14762-1ca0-5a11-aad9-20c81d540fee,prelude.tex:49-60
urn:uuid:de5cce3e-de42-54c1-898b-fcd09a991c8d,relation/course/o013/requires/prerequisite/elementary-set-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:00f7d0ea-1b60-51da-843f-cca760a368e4,prelude.tex:49-60
urn:uuid:922e2514-3fa4-5b3d-86e1-836505ce7783,relation/course/o013/requires/prerequisite/linear-transformations,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:9ef76bd8-39cf-5b09-8c2d-2d8c95f91aec,prelude.tex:49-60
urn:uuid:74ce1984-1114-53f2-a033-f2e9c028f4ee,relation/course/o013/requires/prerequisite/mathematical-logic,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:451f60c6-04ab-54a7-9d74-9dee65d088b7,prelude.tex:49-60
urn:uuid:18ee0c4f-7e83-55ce-b990-c9ff64548532,relation/course/o013/requires/prerequisite/matrices,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:d4260077-2f56-5951-8fe1-2dc390f81288,prelude.tex:49-60
urn:uuid:fe264b2f-dbe8-5589-8cb1-d75a56744c5a,relation/course/o013/requires/prerequisite/permutations-and-symmetric-groups,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:ee7d907b-05bc-5def-81d5-7fcd351829b8,prelude.tex:49-60
urn:uuid:b09b00b5-df77-5d64-94da-753d1b21fef4,relation/course/o013/requires/prerequisite/point-set-topology,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:6a61cd7e-28fe-5c64-9573-cf9ab46e5e96,prelude.tex:49-60
urn:uuid:ed32b23d-1271-5fa2-948f-562f6f29a2c2,relation/course/o013/requires/prerequisite/polynomials,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:15245348-aca2-5814-9ca8-0fce14044e14,prelude.tex:49-60
urn:uuid:59f7a53e-63b6-5f7d-a2ba-9f942e60d2cf,relation/course/o013/requires/prerequisite/real-analysis-basics,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:4eedb52d-6e0a-5379-b39c-5043b067c49f,prelude.tex:49-60
urn:uuid:f4f655a5-427a-5113-b6d6-fff3511fadfd,relation/course/o013/requires/prerequisite/vector-spaces,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:dfd6d864-afe6-5d0e-90f7-c130241cf396,prelude.tex:49-60
urn:uuid:671c70bd-307b-5cb8-a6cc-698df22eb60a,relation/course/o013/uses-resource/resource/wenweili/aljabr-1,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,uses-resource,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,
urn:uuid:d1d7c224-3de2-5145-83db-fbe7a2452d5e,relation/diagram/unit-043/tikzcd-01/governed-by/rights/principal-cc-by-4.0,urn:uuid:74cd295b-ecd6-536a-9136-e9cda09e8eca,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:75ec3d09-1e9a-5700-9b11-bc5c943fe1ba,relation/diagram/unit-043/tikzcd-02/governed-by/rights/principal-cc-by-4.0,urn:uuid:0576f859-0401-56bc-a8bb-02a56b7fc13c,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
