entity_type,id,stable_key,section_id,ordinal,source_value,target_value,format,status
build_surface,urn:uuid:dc3f598d-599e-557d-9aa5-f9280f3dd265,build-surface/unit-044-chapter-pdf,,,pwsh -NoProfile -File scripts/build_chapter6.ps1,artifacts/unit-044-bab-6-modul-id.pdf,pdf,pass
build_surface,urn:uuid:de242bd5-f04d-5c62-bac1-08c01579deab,build-surface/unit-044-combined-checkpoint-pdf,,,python scripts/build_checkpoint_reader_through_chapter_6.py,output/pdf/00-metode-aljabar-jilid-1-id-checkpoint-through-bab-6-reader.pdf,pdf,pass
citation,urn:uuid:cccc7c39-54e8-5166-a667-c663449070d6,citation/unit-044/01-lam99,urn:uuid:281fe917-5f43-5ff5-bea9-19d3c06a3307,,Lam99,Lam99,biblatex-key,preserved
citation,urn:uuid:9e1834f8-d940-5f65-99c4-378c1e133427,citation/unit-044/02-oxl11,urn:uuid:b0608ef2-939e-58ff-8e39-871617aeb054,,Oxl11,Oxl11,biblatex-key,preserved
citation,urn:uuid:dbc8d1ea-c944-5f4d-a10f-5139101db7ec,citation/unit-044/03-dn00,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,,DN00,DN00,biblatex-key,preserved
citation,urn:uuid:c42a0bec-c74a-5fe9-a4f6-cbe166eb2f1e,citation/unit-044/04-gr57,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,,Gr57,Gr57,biblatex-key,preserved
citation,urn:uuid:25de021f-b601-58df-a8c0-68bbd37de63b,citation/unit-044/05-har00,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,,Har00,Har00,biblatex-key,preserved
diagram,urn:uuid:f8b16873-77a3-59c4-bb54-d1d490c919d3,diagram/unit-044/tikzcd-01,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,1,163-166,163-166,tikzcd,audited_preserved
diagram,urn:uuid:0b36c76a-93a6-5504-9a49-1b9d942f583b,diagram/unit-044/tikzcd-02,urn:uuid:cb0b9b57-f616-5b9d-ac48-c2271d1a482a,2,182-186,182-186,tikzcd,audited_preserved
diagram,urn:uuid:1a249cba-1c4b-5c84-ad7a-cf9d7fac7716,diagram/unit-044/tikzcd-03,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,3,270-273,270-273,tikzcd,audited_preserved
diagram,urn:uuid:fc4124ef-6dd6-5c6a-8451-733dae1ac7f3,diagram/unit-044/tikzcd-04,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,4,277-280,277-280,tikzcd,audited_preserved
diagram,urn:uuid:77817428-748b-5365-b650-8a8b7b884abf,diagram/unit-044/tikzcd-05,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,5,323-327,323-327,tikzcd,audited_preserved
diagram,urn:uuid:a3aab418-7704-5033-a9a6-364960164f4d,diagram/unit-044/tikzcd-06,urn:uuid:281fe917-5f43-5ff5-bea9-19d3c06a3307,6,352-355,352-355,tikzcd,audited_preserved
diagram,urn:uuid:aa18c3c6-94fe-5a2a-8a84-e636fbee1cf5,diagram/unit-044/tikzcd-07,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,7,552-555,552-555,tikzcd,audited_preserved
diagram,urn:uuid:5a8a3fc3-667b-565d-b4dc-5adf2630559c,diagram/unit-044/tikzcd-08,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,8,597-601,597-601,tikzcd,audited_preserved
diagram,urn:uuid:cffb8320-b098-5369-b3f5-b662c907a597,diagram/unit-044/tikzcd-09,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,9,607-610,607-610,tikzcd,audited_preserved
diagram,urn:uuid:8ad0f30c-5eb0-58d3-a3e1-e7b72f62257a,diagram/unit-044/tikzcd-10,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,10,635-638,635-638,tikzcd,audited_preserved
diagram,urn:uuid:9db274db-42c4-583c-a5c5-d1fb85458853,diagram/unit-044/tikzcd-11,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,11,684-687,684-687,tikzcd,audited_preserved
diagram,urn:uuid:dd302a4d-2731-5dbf-8b4b-266c40bbc38f,diagram/unit-044/tikzcd-12,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,12,699-703,699-703,tikzcd,audited_preserved
diagram,urn:uuid:24f0500c-727f-502b-a5a0-0bd1c57efa50,diagram/unit-044/tikzcd-13,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,13,744-748,744-748,tikzcd,audited_preserved
diagram,urn:uuid:2a28cd0c-c93d-5e38-9668-20df34e809d2,diagram/unit-044/tikzcd-14,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,14,753-756,753-756,tikzcd,audited_preserved
diagram,urn:uuid:ea5e7ca1-ef02-585e-9dc2-736ef38b9cd8,diagram/unit-044/tikzcd-15,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,15,898-900,898-900,tikzcd,audited_preserved
diagram,urn:uuid:44ff20ac-484a-5f3b-b9a1-2bf43dcc6fae,diagram/unit-044/tikzcd-16,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,16,902-904,902-904,tikzcd,audited_preserved
