relation_id,relation_key,source_id,predicate,target_id,evidence
urn:uuid:194dc096-9787-561c-92ec-592ae0de0fea,relation/build-surface/unit-047-complete-li-pdf/governed-by/rights/ajbook-fragment-cc-by-sa-3.0,urn:uuid:0d5283e7-fcfa-5973-aa0a-e1ec83b74387,governed-by,urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,
urn:uuid:2c9b48e2-2277-558c-a906-237d72181e7e,relation/build-surface/unit-047-complete-li-pdf/governed-by/rights/fandol-gpl-3.0-with-font-exception,urn:uuid:0d5283e7-fcfa-5973-aa0a-e1ec83b74387,governed-by,urn:uuid:624ac6e0-0ed9-531c-8b35-47c040240806,
urn:uuid:7fee6551-bb45-5663-a6d8-0f26fccf2c77,relation/build-surface/unit-047-complete-li-pdf/governed-by/rights/noto-fonts-ofl-1.1,urn:uuid:0d5283e7-fcfa-5973-aa0a-e1ec83b74387,governed-by,urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,
urn:uuid:48c41101-104b-5024-98b2-405a9d7e3954,relation/build-surface/unit-047-complete-li-pdf/governed-by/rights/principal-cc-by-4.0,urn:uuid:0d5283e7-fcfa-5973-aa0a-e1ec83b74387,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:53d067a9-5de9-5fda-80de-fadd94073da9,relation/course/o013/requires/prerequisite/basic-mathematical-literacy,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:8fb6c957-7285-5258-978c-e1369c7e39d7,prelude.tex:49-60
urn:uuid:6af4c728-a07b-5571-a30d-9ee62c1a5a6e,relation/course/o013/requires/prerequisite/cauchy-sequences-and-completeness,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:b9018862-5027-50f5-9947-a9a9526cc91f,prelude.tex:49-60
urn:uuid:cdc5bef1-ed82-58de-9b13-95ec2357d9af,relation/course/o013/requires/prerequisite/elementary-number-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:cae14762-1ca0-5a11-aad9-20c81d540fee,prelude.tex:49-60
urn:uuid:de5cce3e-de42-54c1-898b-fcd09a991c8d,relation/course/o013/requires/prerequisite/elementary-set-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:00f7d0ea-1b60-51da-843f-cca760a368e4,prelude.tex:49-60
urn:uuid:922e2514-3fa4-5b3d-86e1-836505ce7783,relation/course/o013/requires/prerequisite/linear-transformations,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:9ef76bd8-39cf-5b09-8c2d-2d8c95f91aec,prelude.tex:49-60
urn:uuid:74ce1984-1114-53f2-a033-f2e9c028f4ee,relation/course/o013/requires/prerequisite/mathematical-logic,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:451f60c6-04ab-54a7-9d74-9dee65d088b7,prelude.tex:49-60
urn:uuid:18ee0c4f-7e83-55ce-b990-c9ff64548532,relation/course/o013/requires/prerequisite/matrices,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:d4260077-2f56-5951-8fe1-2dc390f81288,prelude.tex:49-60
urn:uuid:fe264b2f-dbe8-5589-8cb1-d75a56744c5a,relation/course/o013/requires/prerequisite/permutations-and-symmetric-groups,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:ee7d907b-05bc-5def-81d5-7fcd351829b8,prelude.tex:49-60
urn:uuid:b09b00b5-df77-5d64-94da-753d1b21fef4,relation/course/o013/requires/prerequisite/point-set-topology,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:6a61cd7e-28fe-5c64-9573-cf9ab46e5e96,prelude.tex:49-60
urn:uuid:ed32b23d-1271-5fa2-948f-562f6f29a2c2,relation/course/o013/requires/prerequisite/polynomials,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:15245348-aca2-5814-9ca8-0fce14044e14,prelude.tex:49-60
urn:uuid:59f7a53e-63b6-5f7d-a2ba-9f942e60d2cf,relation/course/o013/requires/prerequisite/real-analysis-basics,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:4eedb52d-6e0a-5379-b39c-5043b067c49f,prelude.tex:49-60
urn:uuid:f4f655a5-427a-5113-b6d6-fff3511fadfd,relation/course/o013/requires/prerequisite/vector-spaces,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:dfd6d864-afe6-5d0e-90f7-c130241cf396,prelude.tex:49-60
urn:uuid:671c70bd-307b-5cb8-a6cc-698df22eb60a,relation/course/o013/uses-resource/resource/wenweili/aljabr-1,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,uses-resource,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,
urn:uuid:92577462-3a5a-5ddd-b064-cfb70d5500b9,relation/diagram/unit-047/tikzcd-01/governed-by/rights/principal-cc-by-4.0,urn:uuid:4bb09c96-fa41-5e0c-879d-faa33e4fb349,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:383a09a1-4f44-5e59-be42-028bbd58b2d7,relation/diagram/unit-047/tikzcd-02/governed-by/rights/principal-cc-by-4.0,urn:uuid:3f1ca4ff-654b-5bdc-8606-a340bdae88ec,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:4b409286-5dfe-5da4-8a0e-6e8c38c0ff59,relation/diagram/unit-047/tikzcd-03/governed-by/rights/principal-cc-by-4.0,urn:uuid:811c2562-8979-5b91-a133-ec9e927fa02d,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:27d8cb77-4c1d-55b9-800a-6577fdc4e4da,relation/diagram/unit-047/tikzcd-04/governed-by/rights/principal-cc-by-4.0,urn:uuid:562d2c5b-7930-5a34-b3ca-cc48021d6710,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:a7d447ae-42b5-578f-b8e3-0d1e8e63a37e,relation/diagram/unit-047/tikzcd-05/governed-by/rights/principal-cc-by-4.0,urn:uuid:998006dc-01dc-55e5-8f69-44d6a5ec1488,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:d38e167a-3734-5a43-a22b-5af1656e2d36,relation/diagram/unit-047/tikzcd-06/governed-by/rights/principal-cc-by-4.0,urn:uuid:235b9671-4a23-58af-b52b-8ecb46617594,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:c5f79b19-2f30-5237-b403-2308bb022d39,relation/diagram/unit-047/tikzcd-07/governed-by/rights/principal-cc-by-4.0,urn:uuid:78f14a4a-181c-5bca-b796-f0615f3fa2a6,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:57d807ec-a014-59ef-a846-c89b54fc24cf,relation/diagram/unit-047/tikzcd-08/governed-by/rights/principal-cc-by-4.0,urn:uuid:73a34e05-fee7-5eab-96a6-acf801de3d03,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:1c8c6e90-2652-54b3-b7c8-eacd86156156,relation/diagram/unit-047/tikzcd-09/governed-by/rights/principal-cc-by-4.0,urn:uuid:e87a3816-870c-533c-9991-c417090a4d85,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:86363f30-2773-59aa-8c22-7d2bb8c819e9,relation/diagram/unit-047/tikzcd-10/governed-by/rights/principal-cc-by-4.0,urn:uuid:df5b2f7d-98f1-5c23-8846-2cd1e578cf70,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
