relation_id,relation_key,source_id,predicate,target_id,evidence
urn:uuid:5f11d8da-f304-5a8e-9fd6-92d5f252203a,relation/build-surface/unit-011-pdf/governed-by/rights/ajbook-fragment-cc-by-sa-3.0,urn:uuid:14cafb40-4de5-5ff8-8433-0622ef65455b,governed-by,urn:uuid:10faf5cd-990f-5850-87b4-26922b062485,
urn:uuid:c5482bff-a7e4-503b-8681-e302d51ab47b,relation/build-surface/unit-011-pdf/governed-by/rights/noto-fonts-ofl-1.1,urn:uuid:14cafb40-4de5-5ff8-8433-0622ef65455b,governed-by,urn:uuid:b9f7a7a7-8e18-507a-b72e-b5de733a7430,
urn:uuid:e3c82ebb-68c5-5a43-b152-c084ea519a3b,relation/build-surface/unit-011-pdf/governed-by/rights/principal-cc-by-4.0,urn:uuid:14cafb40-4de5-5ff8-8433-0622ef65455b,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:53d067a9-5de9-5fda-80de-fadd94073da9,relation/course/o013/requires/prerequisite/basic-mathematical-literacy,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:8fb6c957-7285-5258-978c-e1369c7e39d7,prelude.tex:49-60
urn:uuid:6af4c728-a07b-5571-a30d-9ee62c1a5a6e,relation/course/o013/requires/prerequisite/cauchy-sequences-and-completeness,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:b9018862-5027-50f5-9947-a9a9526cc91f,prelude.tex:49-60
urn:uuid:cdc5bef1-ed82-58de-9b13-95ec2357d9af,relation/course/o013/requires/prerequisite/elementary-number-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:cae14762-1ca0-5a11-aad9-20c81d540fee,prelude.tex:49-60
urn:uuid:de5cce3e-de42-54c1-898b-fcd09a991c8d,relation/course/o013/requires/prerequisite/elementary-set-theory,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:00f7d0ea-1b60-51da-843f-cca760a368e4,prelude.tex:49-60
urn:uuid:922e2514-3fa4-5b3d-86e1-836505ce7783,relation/course/o013/requires/prerequisite/linear-transformations,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:9ef76bd8-39cf-5b09-8c2d-2d8c95f91aec,prelude.tex:49-60
urn:uuid:74ce1984-1114-53f2-a033-f2e9c028f4ee,relation/course/o013/requires/prerequisite/mathematical-logic,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:451f60c6-04ab-54a7-9d74-9dee65d088b7,prelude.tex:49-60
urn:uuid:18ee0c4f-7e83-55ce-b990-c9ff64548532,relation/course/o013/requires/prerequisite/matrices,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:d4260077-2f56-5951-8fe1-2dc390f81288,prelude.tex:49-60
urn:uuid:fe264b2f-dbe8-5589-8cb1-d75a56744c5a,relation/course/o013/requires/prerequisite/permutations-and-symmetric-groups,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:ee7d907b-05bc-5def-81d5-7fcd351829b8,prelude.tex:49-60
urn:uuid:b09b00b5-df77-5d64-94da-753d1b21fef4,relation/course/o013/requires/prerequisite/point-set-topology,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:6a61cd7e-28fe-5c64-9573-cf9ab46e5e96,prelude.tex:49-60
urn:uuid:ed32b23d-1271-5fa2-948f-562f6f29a2c2,relation/course/o013/requires/prerequisite/polynomials,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:15245348-aca2-5814-9ca8-0fce14044e14,prelude.tex:49-60
urn:uuid:59f7a53e-63b6-5f7d-a2ba-9f942e60d2cf,relation/course/o013/requires/prerequisite/real-analysis-basics,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:4eedb52d-6e0a-5379-b39c-5043b067c49f,prelude.tex:49-60
urn:uuid:f4f655a5-427a-5113-b6d6-fff3511fadfd,relation/course/o013/requires/prerequisite/vector-spaces,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,requires,urn:uuid:dfd6d864-afe6-5d0e-90f7-c130241cf396,prelude.tex:49-60
urn:uuid:671c70bd-307b-5cb8-a6cc-698df22eb60a,relation/course/o013/uses-resource/resource/wenweili/aljabr-1,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,uses-resource,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,
urn:uuid:b91da220-eb7a-56ca-910a-a81595d647aa,relation/diagram/unit-011/center-naturality-square/governed-by/rights/principal-cc-by-4.0,urn:uuid:72584a92-6bec-5e1d-8da1-3ebcf5fd8602,governed-by,urn:uuid:0baf6c47-021d-5310-9475-81519e710250,
urn:uuid:69e66be0-d6f6-5039-9bd5-5f173b3f87b4,relation/edition/wenweili/aljabr-1/c4f7a01f68f5f407906b4b970640cddbbad85f6b/contains/unit/bab-2-kategori-fungtor,urn:uuid:df2d23de-7370-5da5-ad49-42fb7c718c49,contains,urn:uuid:cc46255b-97e9-5300-9dbd-96b8846a6c03,chapter2.tex:468-563
urn:uuid:f43da1b4-0053-5379-9911-864a80e9df27,relation/program/open-mathematics-curriculum/2026/contains/course/o013,urn:uuid:9d8d0610-2560-5376-8679-5a9418407a78,contains,urn:uuid:a5f3ad58-ce3c-5f5f-b581-1f842ae79192,
urn:uuid:03dde2e7-13e9-5147-9aac-4160466fd402,relation/resource/wenweili/aljabr-1/has-edition/edition/wenweili/aljabr-1/c4f7a01f68f5f407906b4b970640cddbbad85f6b,urn:uuid:a72e8c67-4b46-5049-b626-479af39b5397,has-edition,urn:uuid:df2d23de-7370-5da5-ad49-42fb7c718c49,
urn:uuid:bdba4c99-fe5b-502d-b4e2-2db81008f21a,relation/unit/bab-2-kategori-fungtor/built-by/build-surface/unit-011-pdf,urn:uuid:cc46255b-97e9-5300-9dbd-96b8846a6c03,built-by,urn:uuid:14cafb40-4de5-5ff8-8433-0622ef65455b,
urn:uuid:88179c5c-afef-5142-ae94-e80c3bc2f252,relation/unit/bab-2-kategori-fungtor/checked-by/qa/unit-011/admission-gate,urn:uuid:cc46255b-97e9-5300-9dbd-96b8846a6c03,checked-by,urn:uuid:4c4861fe-6e89-5adc-a20e-2815074fff2f,
urn:uuid:a52d4afc-27ce-5c58-8437-91004c440ca8,relation/unit/bab-2-kategori-fungtor/contains/unit/bab-2-kategori-fungtor/section/kategori-fungtor,urn:uuid:cc46255b-97e9-5300-9dbd-96b8846a6c03,contains,urn:uuid:96ef017f-df20-5611-a520-c95acecfb20d,chapter2.tex:468-563
